"","food","kalescale","nd","protein","fiber","calcium","iron","magnesium","phosphorous","potassium","sodium","zinc","copper","manganese","selenium","vitc","thiamin","riboflavin","niacin","pantothenicacid","vitb6","folate","vitb12","vita","vite","vitd","vitk"
"3059","NEW ZEALAND SPINACH,RAW",128,22.4452415803578,0.214285714285714,0.428571428571429,0.414285714285714,0.317460317460317,0.696428571428572,0.2,0.26530612244898,0.386904761904762,0.180952380952381,0.332142857142857,2.28214285714286,0.0714285714285714,3.57142857142857,0.19047619047619,0.546218487394958,0.178571428571429,0.222857142857143,1.08571428571429,0.267857142857143,0,6.28571428571429,0.482993197278912,0,30.0892857142857
"3294","WATERCRESS,RAW",127,22.2652351487502,0.418181818181818,0.181818181818182,1.09090909090909,0.101010101010101,0.477272727272727,0.545454545454546,0.857142857142857,0.15530303030303,0.0666666666666667,0.35,1.10909090909091,0.116883116883117,6.51515151515152,0.545454545454546,0.641711229946524,0.0909090909090909,0.281818181818182,0.586363636363636,0.204545454545455,0,5.80181818181818,0.432900432900433,0,28.4090909090909
"3202","SPINACH,RAW",127,22.1792276866418,0.248695652173913,0.382608695652174,0.430434782608696,0.654589371980676,0.858695652173913,0.21304347826087,0.693167701863354,0.143115942028986,0.153623188405797,0.282608695652174,1.95,0.062111801242236,2.03623188405797,0.226086956521739,0.483375959079284,0.157391304347826,0.0282608695652174,0.423913043478261,2.10869565217391,0,8.15391304347826,0.420289855072464,0,26.2445652173913
"2904","BEET GREENS,RAW",122,21.3646455667976,0.2,0.672727272727273,0.531818181818182,0.648989898989899,0.795454545454545,0.186363636363636,0.98961038961039,0.428030303030303,0.115151515151515,0.434090909090909,0.888636363636364,0.0584415584415585,2.27272727272727,0.303030303030303,0.588235294117647,0.0909090909090909,0.113636363636364,0.240909090909091,0.170454545454545,0,5.75090909090909,0.324675324675325,0,22.7272727272727
"2953","CHARD,SWISS,RAW",120,20.8973776550071,0.189473684210526,0.336842105263158,0.268421052631579,0.526315789473684,1.06578947368421,0.242105263157895,0.569924812030075,0.467105263157895,0.126315789473684,0.471052631578947,0.963157894736842,0.0676691729323308,2.63157894736842,0.140350877192982,0.278637770897833,0.105263157894737,0.0905263157894737,0.260526315789474,0.184210526315789,0,6.43789473684211,0.473684210526316,0,54.6052631578947
"2967","CORIANDER (CILANTRO) LEAVES,RAW",119,20.7637545641931,0.185217391304348,0.48695652173913,0.291304347826087,0.427536231884058,0.282608695652174,0.208695652173913,0.647204968944099,0.0833333333333333,0.144927536231884,0.489130434782609,0.926086956521739,0.0559006211180124,1.95652173913043,0.194202898550725,0.414322250639386,0.242173913043478,0.247826086956522,0.323913043478261,0.673913043478261,0,5.86782608695652,0.5175983436853,0,16.8478260869565
"2958","CHICORY GREENS,RAW",116,20.2624500195474,0.147826086956522,0.695652173913043,0.434782608695652,0.217391304347826,0.326086956521739,0.204347826086957,0.521739130434783,0.0815217391304348,0.121739130434783,0.641304347826087,0.932608695652174,0.0186335403726708,1.73913043478261,0.173913043478261,0.255754475703325,0.108695652173913,0.503913043478261,0.228260869565217,1.19565217391304,0,4.97130434782609,0.467908902691511,0,16.1739130434783
"2914","BROCCOLI RAAB,RAW",115,20.0441099125996,0.288181818181818,0.490909090909091,0.490909090909091,0.54040404040404,0.25,0.331818181818182,0.254545454545455,0.0625,0.233333333333333,0.0954545454545455,0.897727272727273,0.0649350649350649,1.53030303030303,0.490909090909091,0.344919786096257,0.2775,0.146363636363636,0.388636363636364,0.943181818181818,0,2.38363636363636,0.350649350649351,0,12.7272727272727
"2931","CABBAGE,CHINESE (PAK-CHOI),RAW",110,19.258450259881,0.230769230769231,0.307692307692308,0.807692307692308,0.341880341880342,0.365384615384615,0.284615384615385,0.553846153846154,0.208333333333333,0.0974358974358975,0.0807692307692308,0.611538461538462,0.0549450549450549,5.76923076923077,0.205128205128205,0.316742081447964,0.192307692307692,0.0676923076923077,0.746153846153846,1.26923076923077,0,6.87384615384615,0.032967032967033,0,4.375
"3002","ENDIVE,RAW",107,18.658514168551,0.147058823529412,0.729411764705882,0.305882352941176,0.27124183006536,0.220588235294118,0.164705882352941,0.527731092436975,0.053921568627451,0.309803921568627,0.291176470588235,1.23529411764706,0.0168067226890756,0.637254901960784,0.313725490196078,0.259515570934256,0.117647058823529,0.529411764705882,0.0588235294117647,2.08823529411765,0,2.54941176470588,0.123249299719888,0,16.9852941176471
"3278","TURNIP GREENS,RAW",104,18.1646476324335,0.09375,0.4,0.59375,0.190972222222222,0.2421875,0.13125,0.264285714285714,0.0520833333333333,0.0395833333333333,0.546875,0.728125,0.0535714285714286,3.125,0.145833333333333,0.183823529411765,0.09375,0.11875,0.4109375,1.515625,0,7.241875,0.425595238095238,0,9.8046875
"2992","CRESS,GARDEN,RAW",101,17.6587470535832,0.1625,0.1375,0.253125,0.225694444444444,0.296875,0.2375,0.541071428571429,0.0182291666666667,0.0479166666666667,0.265625,0.8640625,0.0401785714285714,3.59375,0.166666666666667,0.477941176470588,0.15625,0.075625,0.3859375,0.625,0,4.323125,0.104166666666667,0,21.16796875
"3018","KALE,RAW",100,17.4691468003112,0.17469387755102,0.293877551020408,0.306122448979592,0.166666666666667,0.239795918367347,0.187755102040816,0.286297376093294,0.032312925170068,0.0761904761904762,1.52959183673469,0.672448979591837,0.0262390670553936,4.08163265306122,0.149659863945578,0.156062424969988,0.102040816326531,0.0185714285714286,0.276530612244898,0.719387755102041,0,4.07755102040816,0.149659863945578,0,17.9795918367347
"2861","ASPARAGUS,RAW",100,17.3839105829238,0.22,0.42,0.12,0.594444444444445,0.175,0.26,0.288571428571429,0.00416666666666667,0.18,0.4725,0.395,0.164285714285714,0.466666666666667,0.476666666666667,0.414705882352941,0.2445,0.137,0.2275,0.65,0,0.756,0.269047619047619,0,2.6
"3035","LETTUCE,BUTTERHEAD (INCL BOSTON&BIBB TYPES),RAW",99,17.2561765827056,0.207692307692308,0.338461538461538,0.269230769230769,0.52991452991453,0.25,0.253846153846154,0.523076923076923,0.016025641025641,0.102564102564103,0.0615384615384615,0.688461538461538,0.0659340659340659,0.474358974358974,0.292307692307692,0.280542986425339,0.137307692307692,0.115384615384615,0.315384615384615,1.40384615384615,0,5.09538461538462,0.0659340659340659,0,9.83653846153846
"3251","TARO LEAVES,RAW",99,17.2404181753694,0.237142857142857,0.352380952380952,0.254761904761905,0.297619047619048,0.267857142857143,0.142857142857143,0.440816326530612,0.00297619047619048,0.0650793650793651,0.321428571428571,0.85,0.0306122448979592,2.06349206349206,0.331746031746032,0.638655462184874,0.180119047619048,0.02,0.173809523809524,0.75,0,2.29761904761905,0.229024943310658,0,3.23214285714286
"3038","LETTUCE,GRN LEAF,RAW",98,17.1376256269074,0.181333333333333,0.346666666666667,0.24,0.318518518518519,0.216666666666667,0.193333333333333,0.36952380952381,0.0777777777777778,0.08,0.0966666666666667,0.833333333333333,0.0571428571428571,1.02222222222222,0.311111111111111,0.313725490196078,0.125,0.0893333333333333,0.3,0.633333333333333,0,9.87333333333333,0.0698412698412698,0,10.525
