,food,cat,subcat,kalescale,nd,protein,fiber,calcium,iron,magnesium,phosphorous,potassium,sodium,zinc,copper,manganese,selenium,vitc,thiamin,riboflavin,niacin,pantothenicacid,vitb6,folate,vitb12,vita,vite,vitd,vitk
2321,"MELONS,CASABA,RAW",fruit,,28,4.829076442,0.079285714,0.128571429,0.039285714,0.067460317,0.098214286,0.017857143,0.185714286,0.013392857,0.016666667,0.107142857,0.0625,0.020408163,1.297619048,0.035714286,0.06512605,0.041428571,0.03,0.291071429,0.071428571,0,0,0.008503401,0,0.111607143
861,"CHICKEN,BROILER OR FRYERS,BRST,SKINLESS,BNLESS,MEAT ONLY,RAW",meat,poultry,28,4.816127111,0.375,0,0.004166667,0.01712963,0.058333333,0.1775,0.07952381,0.015625,0.037777778,0.015416667,0.004583333,0.271428571,0,0.052222222,0.086764706,0.4,0.124583333,0.337916667,0.01875,0.029166667,0.004166667,0.022222222,0.002083333,0.002083333
1145,"TURKEY,RTL PARTS,WING,MEAT ONLY,RAW",meat,poultry,28,4.812699089,0.401428571,0,0.005357143,0.029761905,0.042410714,0.13125,0.056632653,0.025669643,0.155357143,0.020982143,0.002232143,0.275510204,0,0.022619048,0.066701681,0.2846875,0.060714286,0.314732143,0.015625,0.136904762,0.003035714,0.004676871,0.015625,0
142,"EGG,YOLK,RAW,FRZ,SALTED,PAST",animalproduct,,27,4.795921929,0.102327273,0,0.041090909,0.068686869,0.006363636,0.150545455,0.011532468,0.528333333,0.069575758,0.022,0.011818182,0.295584416,0,0.033939394,0.091336898,0.000490909,0.115163636,0.073090909,0.101818182,0.097575758,0.075854545,0.039480519,0.114545455,0.003181818
7405,"BEEF,LOIN,TOP LOIN STK,BNLS,LIP OFF,LN,0"" FAT,ALL GRDS,RAW",meat,redmeat,27,4.792334113,0.322657343,0,0.01048951,0.071484071,0.020979021,0.144755245,0.056743257,0.013403263,0.173426573,0.015384615,0.000699301,0.214785215,0,0.026107226,0.086795557,0.235734266,0.026013986,0.202097902,0.006993007,0.207459207,0.000979021,0.007326007,0.003496503,0.013111888
5195,"VEAL,SHLDR,WHL (ARM&BLD),LN&FAT,RAW",meat,redmeat,27,4.791399257,0.296461538,0,0.016923077,0.038888889,0.044230769,0.156153846,0.066373626,0.029166667,0.201538462,0.045769231,0.010769231,0.089010989,0,0.046153846,0.131221719,0.238076923,0.109230769,0.15,0.023076923,0.214102564,0,0.00989011,0,0.044230769
1111,"CHICKEN,DK MEAT,DRUMSTK,MEAT ONLY,ENHANCED,RAW",meat,poultry,27,4.79078396,0.362075472,0,0.008490566,0.037735849,0.037735849,0.13490566,0.051752022,0.059748428,0.125786164,0.028773585,0.004716981,0.301886792,0,0.06163522,0.134850166,0.233018868,0.113207547,0.181603774,0.007075472,0.066037736,0.005283019,0.017969452,0.016509434,0
7612,"BEEF,TOP SIRLOIN,STEAK,LN,1/8"" FAT,CHOIC,RAW",meat,redmeat,27,4.783530759,0.324592593,0,0.020740741,0.067078189,0.042592593,0.151851852,0.072380952,0.017592593,0.204444444,0.027037037,0.005185185,0.26984127,0,0.030123457,0.046623094,0.274814815,0.048296296,0.222592593,0.024074074,0.14691358,0,0.011640212,0.003703704,0.012037037
1115,"CHICKEN,DK MEAT,THIGH,MEAT ONLY,ENHANCED,RAW",meat,poultry,27,4.783043517,0.347454545,0,0.007272727,0.03030303,0.047727273,0.159090909,0.060779221,0.059090909,0.092727273,0.024090909,0.004090909,0.271428571,0,0.052727273,0.122994652,0.240909091,0.113636364,0.196818182,0.006818182,0.084848485,0.003454545,0.011255411,0.006818182,0
4793,"MUNG BNS,MATURE SEEDS,RAW",vegprotein,legume,27,4.757360687,0.137521614,0.187896254,0.038040346,0.107909062,0.136167147,0.105763689,0.10259366,0.001801153,0.051488953,0.135590778,0.149135447,0.033758748,0.023054755,0.119308357,0.03949822,0.032435159,0.055043228,0.055043228,0.450288184,0,0.006570605,0.006998765,0,0.032420749
