"","food","kalescale","nd","protein","fiber","calcium","iron","magnesium","phosphorous","potassium","sodium","zinc","copper","manganese","selenium","vitc","thiamin","riboflavin","niacin","pantothenicacid","vitb6","folate","vitb12","vita","vite","vitd","vitk"
"277","SALT,TABLE",Inf,Inf,NA,NA,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","SEASONING MIX,DRY,SAZON,CORIANDER & ANNATTO",Inf,Inf,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4207","BEVERAGES,ZEVIA,COLA",Inf,Inf,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4208","BEVERAGES,ZEVIA,COLA,CAFFEINE FREE",Inf,Inf,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4209","BEVERAGES,H2O,BTLD,NATURALLY SPARKLING (CARBONATED),MINERAL",Inf,Inf,NA,NA,Inf,NA,Inf,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4210","BEVERAGES,ICELANDIC,GLACIAL NAT SPRING H2O",Inf,Inf,NA,NA,Inf,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4214","BEVERAGES,GEROLSTEINER BRUNNEN GMBH H2O,BTLD,NAT SPARK,MIN",Inf,Inf,NA,NA,Inf,NA,Inf,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4240","CARBONATED BEV,CLUB SODA",Inf,Inf,NA,NA,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4253","CARBONATED BEV,LO CAL,OTHER THAN COLA OR PEPPER,WO/ CAFFEINE",Inf,Inf,Inf,NA,Inf,Inf,Inf,NA,Inf,Inf,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4261","CARB BEV,LO CAL,OTHR THN COLA OR PEPPER,W/ ASPRT,CONTNS CAFF",Inf,Inf,Inf,NA,Inf,Inf,Inf,NA,Inf,Inf,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4271","CARBONATED BEV,LO CAL,COLA OR PEPR,W/ NA SACC,CONTAINS CAFFN",Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4283","COFFEE,BREWED FROM GROUNDS,PREP W/ TAP H2O,DECAFFEINATED",Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,NA,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,Inf
"4348","WATER,BTLD,PERRIER",Inf,Inf,NA,NA,Inf,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4349","WATER,BTLD,POLAND SPRING",Inf,Inf,NA,NA,Inf,Inf,Inf,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4357","WATER,TAP,DRINKING",Inf,Inf,NA,NA,Inf,NA,Inf,NA,NA,Inf,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4358","WATER,TAP,WELL",Inf,Inf,NA,NA,Inf,NA,Inf,NA,NA,Inf,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4370","WATER,TAP,MUNICIPAL",Inf,Inf,NA,NA,Inf,NA,Inf,NA,Inf,Inf,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4373","WATER,BTLD,NON-CARBONATED,DANNON",Inf,Inf,NA,NA,Inf,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4378","WATER,BTLD,NON-CARBONATED,CRYSTAL GEYSER",Inf,Inf,NA,NA,Inf,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4379","WATER,BTLD,NON-CARBONATED,NAYA",Inf,Inf,NA,NA,Inf,NA,Inf,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4380","WATER,BTLD,NON-CARBONATED,DANNON FLUORIDE TO GO",Inf,Inf,NA,NA,Inf,Inf,Inf,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4393","CARBONATED BEV,LOCAL,OTHR THAN COLA OR PEP,W/ NA SAC,WO/ CAF",Inf,Inf,NA,NA,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4405","WATER,BTLD,GENERIC",Inf,Inf,NA,NA,Inf,NA,Inf,NA,NA,Inf,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4408","WATER,BTLD,NON-CARBONATED,EVIAN",Inf,Inf,NA,NA,Inf,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4409","BEVERAGES,POWERADE ZERO ION4,CALORIE-FREE,ASSORTED FLAVORS",Inf,Inf,NA,NA,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,NA,Inf,NA,Inf,NA,Inf,NA,Inf,NA,Inf
